X,Y,Z
-34.89671465597655,-8.045791467914942,9.0
-34.896803592380735,-8.045791467914942,9.0
-34.89689252878491,-8.045791467914942,9.0
-34.89660904399659,-8.045791467914942,10.0
-34.8966156513002,-8.045782606418355,10.0
-34.89662571957238,-8.045770119764072,10.0
-34.89666524686312,-8.045747980940947,10.0
-34.89669242187551,-8.04573276050005,10.0
-34.89671465597655,-8.045720307412042,10.0
-34.896722741104206,-8.045720307412042,10.0
-34.89679550725308,-8.045720307412042,10.0
-34.896803592380735,-8.045720307412042,10.0
-34.89681167750838,-8.045720307412042,10.0
-34.89688444365726,-8.045720307412042,10.0
-34.89689252878491,-8.045720307412042,10.0
-34.89690523398551,-8.045724373726493,10.0
-34.896951819721025,-8.045739283546148,10.0
-34.896981465189086,-8.045748771613201,10.0
-34.89700883023653,-8.045767382821653,10.0
-34.89704075612521,-8.045791467914942,10.0
-34.89655345874398,-8.045791467914942,11.0
-34.89658209039297,-8.045753068096396,11.0
-34.89658619228163,-8.045747980940947,11.0
-34.89661386138515,-8.04571319136175,11.0
-34.89661874416812,-8.045707052024246,11.0
-34.89662571957238,-8.045698959261172,11.0
-34.89666524686312,-8.045678401782556,11.0
-34.896671389617765,-8.045675110876415,11.0
-34.89671465597655,-8.045654483946858,11.0
-34.8967368900776,-8.045654483946858,11.0
-34.89678135827969,-8.045654483946858,11.0
-34.896803592380735,-8.045654483946858,11.0
-34.89682582648177,-8.045654483946858,11.0
-34.896870294683865,-8.045654483946858,11.0
-34.89689252878491,-8.045654483946858,11.0
-34.89692391810403,-8.045662541827333,11.0
-34.89694466391839,-8.045667305106432,11.0
-34.896981465189086,-8.045677611110301,11.0
-34.89700550205508,-8.045692035536565,11.0
-34.897037050441696,-8.04571319136175,11.0
-34.89705597947367,-8.045725884856862,11.0
-34.89707040159327,-8.045736674327708,11.0
-34.89710405320566,-8.04576184975968,11.0
-34.89713957435207,-8.045791467914942,11.0
-34.89649527951291,-8.045791467914942,12.0
-34.896511372767,-8.045769103185458,12.0
-34.896536783168195,-8.045736674327708,12.0
-34.89654724627457,-8.045722400368009,12.0
-34.896554570449034,-8.04571319136175,12.0
-34.89658386714688,-8.04567635533672,12.0
-34.896600309171184,-8.045657279538043,12.0
-34.896619366972075,-8.045634914808561,12.0
-34.89662208951506,-8.045631719847206,12.0
-34.89662571957238,-8.04562779875827,12.0
-34.89664350685321,-8.045619259497922,12.0
-34.896678035104244,-8.045602683286658,12.0
-34.89671465597655,-8.04558510245653,12.0
-34.89674699648717,-8.04558510245653,12.0
-34.89677125187012,-8.04558510245653,12.0
-34.896803592380735,-8.04558510245653,12.0
-34.89683593289134,-8.04558510245653,12.0
-34.896860188274296,-8.04558510245653,12.0
-34.89689252878491,-8.04558510245653,12.0
-34.896936996987,-8.045595776531965,12.0
-34.896936996987,-8.045595776531965,12.0
-34.896981465189086,-8.0456064506074,12.0
-34.89700179351004,-8.045617023024974,12.0
-34.89703228599147,-8.045634914808561,12.0
-34.89705515535255,-8.04564833364625,12.0
-34.89707040159327,-8.045658397774519,12.0
-34.89710597615494,-8.045681880740474,12.0
-34.897148220946924,-8.04571319136175,12.0
-34.89715425591721,-8.045717664307649,12.0
-34.897159337997444,-8.04572188875655,12.0
-34.897159337997444,-8.045634914808561,13.0
-34.897108132188976,-8.045601706573875,13.0
-34.89707040159327,-8.045580121221327,13.0
-34.89705423133796,-8.04557087035595,13.0
-34.89702593339118,-8.04555663825537,13.0
-34.897022512760245,-8.045520510615436,13.0
-34.897022512760245,-8.045514489342114,13.0
-34.897019580790875,-8.045478361702179,13.0
-34.89701481634066,-8.045449007994733,13.0
-34.89701481634066,-8.045429438856436,13.0
-34.89701111065715,-8.045400085148989,13.0
-34.89700814611034,-8.045376602183032,13.0
-34.89700369929013,-8.045341377734095,13.0
-34.89700122883446,-8.045321808595798,13.0
-34.8970001886426,-8.045305329321442,13.0
-34.896993323376314,-8.045253968916366,13.0
-34.89699258223961,-8.045243532042608,13.0
-34.89699258223961,-8.045233747473459,13.0
-34.896981465189086,-8.045165255489417,13.0
-34.89692810334658,-8.045196566110693,13.0
