X,Y,Z
-34.92351158484587,-8.043639403764637,4.0
-34.92347993348775,-8.04366988606018,4.0
-34.9234478097213,-8.04367681385462,4.0
-34.923410424303455,-8.043674878849966,4.0
-34.92328101324167,-8.043639403764637,4.0
-34.92333661206821,-8.043533888126218,4.0
-34.9234478097213,-8.043541424957533,4.0
-34.923493459284146,-8.043596086818338,4.0
-34.92351158484587,-8.043639403764637,4.0
-34.92357535997043,-8.043639403764637,5.0
-34.92351205725419,-8.043700368355722,5.0
-34.9234478097213,-8.043714223944606,5.0
-34.92337303888561,-8.043710353935296,5.0
-34.92311421676204,-8.043639403764637,5.0
-34.92321429464982,-8.043449475615482,5.0
-34.923014138874265,-8.043485087143448,5.0
-34.92296943053952,-8.043270316588188,5.0
-34.9229570769207,-8.043227892774803,5.0
-34.922978298308394,-8.04319388360209,5.0
-34.923014138874265,-8.043188324410396,5.0
-34.92306398609806,-8.04318059266103,5.0
-34.92314966101396,-8.043227892774803,5.0
-34.92323579286275,-8.043429075925388,5.0
-34.9234478097213,-8.04344344615043,5.0
-34.923539108846995,-8.04355276987204,5.0
-34.92357535997043,-8.043639403764637,5.0
-34.923639135094994,-8.043639403764637,5.0
-34.923544181020645,-8.043730850651265,5.0
-34.9234478097213,-8.04375163403459,5.0
-34.92333565346776,-8.043745829020628,5.0
-34.9230412433022,-8.043665123201501,5.0
-34.923014138874265,-8.04366291867834,5.0
-34.92299679204038,-8.04365586420423,5.0
-34.92299396813719,-8.043639403764637,5.0
-34.92298745143752,-8.043614080011416,5.0
-34.92292472220477,-8.043312740401571,5.0
-34.92290001496715,-8.043227892774803,5.0
-34.92294245774252,-8.043159874429376,5.0
-34.923014138874265,-8.043148756045989,5.0
-34.92311383332186,-8.043133292547255,5.0
-34.92328518315366,-8.043227892774803,5.0
-34.92333216416209,-8.043337629038758,5.0
-34.9234478097213,-8.043345467343327,5.0
-34.92358475840984,-8.043509452925742,5.0
-34.923639135094994,-8.043639403764637,5.0
-34.923903911819046,-8.042816381784968,6.0
-34.92390075482821,-8.042834671162295,6.0
-34.92388148056834,-8.042870057131468,6.0
-34.92380495041886,-8.04288900137141,6.0
-34.9236956216339,-8.042816381784968,6.0
-34.92380713699456,-8.042745837043855,6.0
-34.92388148056834,-8.042770658341654,6.0
-34.92389967654794,-8.042799115589592,6.0
-34.923903911819046,-8.042816381784968,6.0
-34.92370291021956,-8.043639403764637,6.0
-34.92357630478709,-8.04376133294681,6.0
-34.9234478097213,-8.043789044124575,6.0
-34.923298268049905,-8.043781304105957,6.0
-34.92310900437205,-8.043729421793662,6.0
-34.923014138874265,-8.043721705962602,6.0
-34.92295342495568,-8.043697015303213,6.0
-34.92294354129451,-8.043639403764637,6.0
-34.92292073284567,-8.043550770628364,6.0
-34.92288001387002,-8.043355164214956,6.0
-34.922842953013586,-8.043227892774803,6.0
-34.92290661717665,-8.043125865256663,6.0
-34.923014138874265,-8.043109187681582,6.0
-34.923163680545656,-8.04308599243348,6.0
-34.92342070529336,-8.043227892774803,6.0
-34.92342853546143,-8.043246182152128,6.0
-34.9234478097213,-8.043247488536224,6.0
-34.92363040797269,-8.043466135979443,6.0
-34.92370291021956,-8.043639403764637,6.0
-34.92348116901723,-8.042404870795135,6.0
-34.923503767249954,-8.042457968987373,6.0
-34.9234478097213,-8.04254204112508,6.0
-34.92342302853004,-8.04242838570884,6.0
-34.92341311605354,-8.042404870795135,6.0
-34.923424368053894,-8.042382626957847,6.0
-34.9234478097213,-8.042378321699017,6.0
-34.92346343749957,-8.042390041570277,6.0
-34.92348116901723,-8.042404870795135,6.0
-34.92583299938002,-8.041170337825635,6.0
-34.92565442903124,-8.041206647618855,6.0
-34.9256161639565,-8.041201992517161,6.0
-34.9255978398362,-8.041187725613938,6.0
-34.92558905952856,-8.041170337825635,6.0
-34.9239412972369,-8.042816381784968,6.0
-34.923932878594655,-8.042865153457837,6.0
-34.92388148056834,-8.042959516042302,6.0
-34.92367740016974,-8.043010034015479,6.0
-34.92359236667031,-8.042953552114913,6.0
-34.92364055231999,-8.043044999001543,6.0
